"","x","y","GUID","area_sqkm","county","small_area","ED_Name"
"14683",-6.35429559,53.72655642,"4c07d11e-29b1-851d-e053-ca3ca8c0ca7f",58254.5222913027,"Louth","147014016","Fair Gate"
"14684",-8.64090171,52.6497268,"4c07d11e-2eb2-851d-e053-ca3ca8c0ca7f",53594.8978409767,"Limerick City and County","128005003","Ballinacurra A"
"14685",-8.64159046,52.65130803,"4c07d11e-2ebd-851d-e053-ca3ca8c0ca7f",18675.1024512649,"Limerick City and County","128005001","Ballinacurra A"
"14686",-8.63216469,52.65155607,"4c07d11e-2ebe-851d-e053-ca3ca8c0ca7f",56847.425163433,"Limerick City and County","128031004","Prospect B"
"14687",-6.339466,53.73101629,"4c07d11e-29cb-851d-e053-ca3ca8c0ca7f",149928.102119207,"Louth","147035029","St. Peter's"
"14688",-6.2598242,53.7208029,"4c07d11e-2a3e-851d-e053-ca3ca8c0ca7f",60866.7507055551,"Meath","167082009","St. Mary's (Part Rural)"
"14689",-6.24997654,53.70313683,"4c07d11e-29a9-851d-e053-ca3ca8c0ca7f",67980.6988081634,"Meath","167082034","St. Mary's (Part Rural)"
"14690",-8.87202544,52.70398286,"4c07d11e-2f1a-851d-e053-ca3ca8c0ca7f",71651.8318273425,"Clare","037027013","Clenagh"
"14691",-8.8656792,52.70653995,"4c07d11e-2f1b-851d-e053-ca3ca8c0ca7f",42900.8796820641,"Clare","037027016","Clenagh"
"14692",-8.86861775,52.70997189,"4c07d11e-2f1c-851d-e053-ca3ca8c0ca7f",28593.9812072515,"Clare","037027021","Clenagh"
"14693",-8.59369441,52.66542288,"4c07d11e-2f04-851d-e053-ca3ca8c0ca7f",57817.6006402522,"Limerick City and County","128002011","Abbey B"
"14694",-8.57833567,52.664811,"4c07d11e-2f05-851d-e053-ca3ca8c0ca7f",36073.541261524,"Limerick City and County","127026005","Ballysimon"
"14695",-6.35659133,53.7292286,"4c07d11e-29b2-851d-e053-ca3ca8c0ca7f",77406.0817616582,"Louth","147035021","St. Peter's"
"14696",-6.26212069,53.70295348,"4c07d11e-2a1d-851d-e053-ca3ca8c0ca7f",108692.717542946,"Meath","167038014","Julianstown"
"14697",-6.33518174,53.7305116,"4c07d11e-29e8-851d-e053-ca3ca8c0ca7f",164008.712256283,"Louth","147035024","St. Peter's"
